label,area,area_convex,centroid,solidity,volume_um,surface_area_um,sphericity,ellipsoid_r_axis_major,ellipsoid_r_axis_medium,ellipsoid_r_axis_minor,aspect_ratio_minor_per_medium,aspect_ratio_medium_per_major,aspect_ratio_minor_per_major,prolate_ratio,oblate_ratio,img_name,organoid,date,magnification,spacing_x_um,spacing_y_um,spacing_z_um,count,relative_z_position,organoid_center,distance_to_organoid_center_um,neighborhood_density,nuc_count_per_organoid
3,9464.0,10211.0,"(36.47770498732037, 56.85164835164835, 74.25707945900254)",0.9268436000391734,321.891687936,259.7358013130694,0.8744979925240722,15.660861259100681,14.095004575051306,10.363393007439205,0.7352529012855239,0.9000146506540666,0.6617383830928797,0.5955742396837251,0.48654506606103126,20241009_P013T_A001a,P013T_A001a,20241009,40x,0.324,0.324,0.324,17,0.16028138050239082,"(85.24164284259253, 79.10590883867297, 91.53495641423685)",18.246979224528598,0,17
4,8737.0,9422.0,"(45.846858189309835, 38.32562664530159, 95.44443172713746)",0.9272978136276799,297.164801088,248.25734990712186,0.8674549314098305,16.00778783604024,13.668442848369626,9.735739589318616,0.7122786185172436,0.8538620694107547,0.6081876952041672,0.5193084040171875,0.4331990913392106,20241009_P013T_A001a,P013T_A001a,20241009,40x,0.324,0.324,0.324,17,0.23020043424858083,"(85.24164284259253, 79.10590883867297, 91.53495641423685)",18.414674667075374,0,17
5,9664.0,10750.0,"(48.890728476821195, 76.12613824503312, 135.17870447019868)",0.8989767441860466,328.69413273600003,281.8163750467547,0.8172956763054562,17.527427231868504,14.767558939504141,9.297522242669148,0.6295910028703319,0.8425400227965946,0.5304556179109002,0.4469300884072315,0.3339700844587253,20241009_P013T_A001a,P013T_A001a,20241009,40x,0.324,0.324,0.324,17,0.2529158841553821,"(85.24164284259253, 79.10590883867297, 91.53495641423685)",18.428295035812706,0,17
6,19337.0,20853.0,"(56.879712468324975, 117.22185447587526, 79.63381082898071)",0.9273006282069726,657.694375488,430.62572996203687,0.8493112972344347,23.225071129235957,15.514504661445596,13.20884450007989,0.8513868014687315,0.6680067662706005,0.568732144094597,0.37991692045077696,0.48421104105315266,20241009_P013T_A001a,P013T_A001a,20241009,40x,0.324,0.324,0.324,17,0.31253516767406697,"(85.24164284259253, 79.10590883867297, 91.53495641423685)",15.868928853088088,1,17
7,10712.0,11834.0,"(64.53117998506347, 51.05713218820015, 128.31637415982075)",0.9051884400878824,364.338943488,296.91984644757935,0.8308359759570043,19.283382679866676,13.781135530089768,9.952287692090353,0.722167463657875,0.7146637993383975,0.5161069433363111,0.3688429489896551,0.3727156422454024,20241009_P013T_A001a,P013T_A001a,20241009,40x,0.324,0.324,0.324,17,0.3696356715303245,"(85.24164284259253, 79.10590883867297, 91.53495641423685)",16.420535555556146,0,17
8,14610.0,15816.0,"(68.60520191649555, 105.08124572210815, 56.04202600958248)",0.9237481031866465,496.91859264,363.0881473657343,0.8355944565283097,21.729919426464722,14.45836876298603,11.450131791265587,0.7919380103638217,0.6653668832925943,0.5269293257167142,0.3506013231675984,0.4172953618104449,20241009_P013T_A001a,P013T_A001a,20241009,40x,0.324,0.324,0.324,17,0.4000388202723549,"(85.24164284259253, 79.10590883867297, 91.53495641423685)",15.235709943120376,1,17
9,19374.0,20794.0,"(75.33973366367296, 43.08165582739754, 80.93991947971509)",0.9317110705011061,658.952827776,432.437606429727,0.8468312712583232,24.076049868166148,16.13160444823463,12.087126759911053,0.7492823667167102,0.6700270408379645,0.5020394469232639,0.33638000500592286,0.3761693049758113,20241009_P013T_A001a,P013T_A001a,20241009,40x,0.324,0.324,0.324,17,0.45029651987815644,"(85.24164284259253, 79.10590883867297, 91.53495641423685)",12.582090275840889,0,17
10,24747.0,26314.0,"(86.93057744373056, 72.60120418636602, 57.84842607184709)",0.9404499505966406,841.7005073280001,497.8962095188943,0.8658653565425076,23.366989093771075,18.869238002117513,13.533581138968602,0.7172298710445996,0.8075168746129759,0.5791752238450029,0.4676937666125874,0.41540177111057847,20241009_P013T_A001a,P013T_A001a,20241009,40x,0.324,0.324,0.324,17,0.5367953540576907,"(85.24164284259253, 79.10590883867297, 91.53495641423685)",11.129510872575086,0,17
11,10911.0,16827.0,"(86.53331500320778, 92.4110530657135, 133.7694986710659)",0.6484221786414691,371.107376064,420.7760193706764,0.5935165969526972,18.919477810416037,16.766654287792132,11.40524262077749,0.6802336605151865,0.8862112609979819,0.6028307300584365,0.534235381453421,0.4100657541786925,20241009_P013T_A001a,P013T_A001a,20241009,40x,0.324,0.324,0.324,17,0.5338307089791625,"(85.24164284259253, 79.10590883867297, 91.53495641423685)",14.353060450827517,0,17
12,23444.0,24996.0,"(93.50691008360349, 124.07187340044361, 95.52367343456748)",0.9379100656104977,797.382579456,484.0697561080829,0.8590544078586554,22.09684528019477,20.17409005041245,12.760888960931863,0.6325385149488303,0.9129850797522816,0.5774982265169476,0.5272472643933765,0.3652898705866133,20241009_P013T_A001a,P013T_A001a,20241009,40x,0.324,0.324,0.324,17,0.5858724633104738,"(85.24164284259253, 79.10590883867297, 91.53495641423685)",14.86931444203201,0,17
